Suite,Method,Categories,Shape,Length,Count,Url,Mean,Error,StdDev,Ratio,Allocated,Source
Base64Benchmarks,Old,,,16,,False,48.66 ns,2.734 ns,0.710 ns,1.00,56 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,New,,,16,,False,48.09 ns,1.496 ns,0.231 ns,0.99,56 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,Old,,,16,,True,68.12 ns,1.287 ns,0.199 ns,1.00,56 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,New,,,16,,True,44.36 ns,4.289 ns,1.114 ns,0.65,56 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,Old,,,256,,False,457.64 ns,9.079 ns,1.405 ns,1.00,536 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,New,,,256,,False,460.33 ns,7.881 ns,2.047 ns,1.01,536 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,Old,,,256,,True,777.87 ns,29.433 ns,7.644 ns,1.00,536 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,New,,,256,,True,247.14 ns,5.976 ns,1.552 ns,0.32,536 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,Old,,,4096,,False,"6,836.37 ns",120.090 ns,31.187 ns,1.00,8216 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,New,,,4096,,False,"6,819.86 ns",272.474 ns,70.761 ns,1.00,8216 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,Old,,,4096,,True,"11,837.68 ns",923.695 ns,239.881 ns,1.00,8216 B,final/results/Base64Benchmarks-report.csv
Base64Benchmarks,New,,,4096,,True,"3,173.05 ns",55.263 ns,14.352 ns,0.27,8216 B,final/results/Base64Benchmarks-report.csv
LoggingBenchmarks,Old,,,,,,19.539 ns,4.7251 ns,1.2271 ns,1.00,56 B,isolated/results/LoggingBenchmarks-report.csv
LoggingBenchmarks,New,,,,,,5.296 ns,0.7226 ns,0.1877 ns,0.27,0 B,isolated/results/LoggingBenchmarks-report.csv
WeightedBenchmarks,Old,,,,4,,21.79 ns,1.887 ns,0.490 ns,1.00,0 B,isolated/results/WeightedBenchmarks-report.csv
WeightedBenchmarks,New,,,,4,,14.67 ns,0.224 ns,0.035 ns,0.67,0 B,isolated/results/WeightedBenchmarks-report.csv
WeightedBenchmarks,Old,,,,64,,203.99 ns,11.619 ns,3.017 ns,1.00,0 B,isolated/results/WeightedBenchmarks-report.csv
WeightedBenchmarks,New,,,,64,,85.79 ns,17.520 ns,4.550 ns,0.42,0 B,isolated/results/WeightedBenchmarks-report.csv
WeightedBenchmarks,Old,,,,1024,,"2,994.81 ns",289.563 ns,75.199 ns,1.00,0 B,isolated/results/WeightedBenchmarks-report.csv
WeightedBenchmarks,New,,,,1024,,"1,455.80 ns",371.813 ns,96.559 ns,0.49,0 B,isolated/results/WeightedBenchmarks-report.csv
StringBenchmarks,LowerOld,OrdinalLower,,16,,,15.498 ns,0.4125 ns,0.0638 ns,1.00,56 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,LowerNew,OrdinalLower,,16,,,9.447 ns,0.2432 ns,0.0376 ns,0.61,56 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,LowerOld,OrdinalLower,,256,,,118.075 ns,2.0991 ns,0.5451 ns,1.00,536 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,LowerNew,OrdinalLower,,256,,,26.161 ns,0.9769 ns,0.2537 ns,0.22,536 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,LowerOld,OrdinalLower,,4096,,,"1,628.357 ns",24.0610 ns,6.2486 ns,1.00,8216 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,LowerNew,OrdinalLower,,4096,,,258.065 ns,20.8920 ns,5.4256 ns,0.16,8216 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,ScribanOld,Scriban,,16,,,16.534 ns,0.4083 ns,0.1060 ns,1.00,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,ScribanNew,Scriban,,16,,,2.155 ns,0.1866 ns,0.0289 ns,0.13,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,ScribanOld,Scriban,,256,,,241.192 ns,1.7279 ns,0.4487 ns,1.00,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,ScribanNew,Scriban,,256,,,6.138 ns,0.1503 ns,0.0390 ns,0.03,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,ScribanOld,Scriban,,4096,,,"3,761.541 ns",169.5644 ns,26.2403 ns,1.00,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,ScribanNew,Scriban,,4096,,,90.505 ns,1.3508 ns,0.3508 ns,0.02,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,SplitOld,SplitSingle,,16,,,13.252 ns,0.6312 ns,0.0977 ns,1.00,88 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,SplitNew,SplitSingle,,16,,,5.777 ns,0.9429 ns,0.2449 ns,0.44,32 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,SplitOld,SplitSingle,,256,,,23.393 ns,1.4103 ns,0.3663 ns,1.00,568 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,SplitNew,SplitSingle,,256,,,6.307 ns,0.4417 ns,0.1147 ns,0.27,32 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,SplitOld,SplitSingle,,4096,,,192.178 ns,8.3504 ns,2.1686 ns,1.00,8248 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,SplitNew,SplitSingle,,4096,,,34.724 ns,2.1952 ns,0.5701 ns,0.18,32 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,WhitespaceOld,WhitespaceAscii,,16,,,2.792 ns,0.1041 ns,0.0270 ns,1.00,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,WhitespaceNew,WhitespaceAscii,,16,,,1.881 ns,0.0741 ns,0.0115 ns,0.67,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,WhitespaceOld,WhitespaceAscii,,256,,,6.321 ns,0.1781 ns,0.0462 ns,1.00,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,WhitespaceNew,WhitespaceAscii,,256,,,5.828 ns,0.4044 ns,0.1050 ns,0.92,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,WhitespaceOld,WhitespaceAscii,,4096,,,67.681 ns,1.4622 ns,0.3797 ns,1.00,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,WhitespaceNew,WhitespaceAscii,,4096,,,68.895 ns,2.6798 ns,0.6959 ns,1.02,0 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,UnicodeOld,WhitespaceUnicode,,16,,,32.497 ns,7.9794 ns,1.2348 ns,1.00,56 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,UnicodeNew,WhitespaceUnicode,,16,,,13.478 ns,0.7840 ns,0.1213 ns,0.42,56 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,UnicodeOld,WhitespaceUnicode,,256,,,349.673 ns,13.3760 ns,3.4737 ns,1.00,536 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,UnicodeNew,WhitespaceUnicode,,256,,,36.853 ns,3.0036 ns,0.7800 ns,0.11,536 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,UnicodeOld,WhitespaceUnicode,,4096,,,"5,178.993 ns",191.2782 ns,29.6005 ns,1.00,8216 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,UnicodeNew,WhitespaceUnicode,,4096,,,277.426 ns,23.4373 ns,6.0866 ns,0.05,8216 B,final/results/StringBenchmarks-report.csv
StringBenchmarks,InvariantOld,InvariantLower,,16,,,12.20 ns,0.655 ns,0.170 ns,1.00,56 B,refinement/results/StringBenchmarks-report.csv
StringBenchmarks,InvariantNew,InvariantLower,,16,,,10.00 ns,0.151 ns,0.039 ns,0.82,56 B,refinement/results/StringBenchmarks-report.csv
StringBenchmarks,InvariantOld,InvariantLower,,256,,,137.87 ns,2.438 ns,0.377 ns,1.00,536 B,refinement/results/StringBenchmarks-report.csv
StringBenchmarks,InvariantNew,InvariantLower,,256,,,29.03 ns,1.687 ns,0.261 ns,0.21,536 B,refinement/results/StringBenchmarks-report.csv
StringBenchmarks,InvariantOld,InvariantLower,,4096,,,"1,968.66 ns",165.929 ns,43.091 ns,1.00,8216 B,refinement/results/StringBenchmarks-report.csv
StringBenchmarks,InvariantNew,InvariantLower,,4096,,,285.54 ns,27.088 ns,4.192 ns,0.15,8216 B,refinement/results/StringBenchmarks-report.csv
StringBenchmarks,AlphaOld,AlphaNumeric,,16,,,6.539 ns,0.2419 ns,0.0628 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,AlphaNew,AlphaNumeric,,16,,,1.008 ns,0.0385 ns,0.0100 ns,0.15,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,AlphaOld,AlphaNumeric,,256,,,96.569 ns,3.0263 ns,0.4683 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,AlphaNew,AlphaNumeric,,256,,,4.481 ns,0.1132 ns,0.0175 ns,0.05,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,AlphaOld,AlphaNumeric,,4096,,,"1,457.449 ns",177.4618 ns,27.4624 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,AlphaNew,AlphaNumeric,,4096,,,67.451 ns,1.0588 ns,0.2750 ns,0.05,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,DigitsOld,Digits,,16,,,5.050 ns,0.1998 ns,0.0309 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,DigitsNew,Digits,,16,,,1.532 ns,0.1496 ns,0.0231 ns,0.30,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,DigitsOld,Digits,,256,,,70.850 ns,8.5881 ns,1.3290 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,DigitsNew,Digits,,256,,,2.703 ns,0.1058 ns,0.0275 ns,0.04,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,DigitsOld,Digits,,4096,,,971.052 ns,97.7468 ns,25.3845 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,DigitsNew,Digits,,4096,,,28.720 ns,1.1976 ns,0.3110 ns,0.03,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,UriOld,HttpLike,,16,,,14.227 ns,0.3432 ns,0.0891 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,UriNew,HttpLike,,16,,,1.769 ns,0.0811 ns,0.0211 ns,0.12,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,UriOld,HttpLike,,256,,,108.290 ns,3.6739 ns,0.9541 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,UriNew,HttpLike,,256,,,3.651 ns,0.2459 ns,0.0380 ns,0.03,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,UriOld,HttpLike,,4096,,,"1,551.435 ns",137.3053 ns,35.6577 ns,1.00,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,UriNew,HttpLike,,4096,,,29.535 ns,0.6447 ns,0.1674 ns,0.02,0 B,confirmation/results/StringBenchmarks-report.csv
StringBenchmarks,SlugOld,SlugClean,,16,,,19.95 ns,7.935 ns,1.228 ns,1.00,56 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,SlugNew,SlugClean,,16,,,16.44 ns,3.211 ns,0.834 ns,0.83,0 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,SlugOld,SlugClean,,256,,,248.24 ns,56.224 ns,14.601 ns,1.00,536 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,SlugNew,SlugClean,,256,,,10.56 ns,3.098 ns,0.805 ns,0.04,0 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,SlugOld,SlugClean,,4096,,,"3,349.02 ns",59.930 ns,15.564 ns,1.00,8216 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,SlugNew,SlugClean,,4096,,,122.56 ns,4.378 ns,0.678 ns,0.04,0 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,DirtySlugOld,SlugDirty,,16,,,36.42 ns,7.450 ns,1.935 ns,1.00,80 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,DirtySlugNew,SlugDirty,,16,,,31.21 ns,7.614 ns,1.977 ns,0.86,80 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,DirtySlugOld,SlugDirty,,256,,,262.83 ns,58.135 ns,15.097 ns,1.00,560 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,DirtySlugNew,SlugDirty,,256,,,52.70 ns,15.808 ns,4.105 ns,0.20,560 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,DirtySlugOld,SlugDirty,,4096,,,"3,333.97 ns",769.832 ns,199.923 ns,1.00,8240 B,slug-final/results/StringBenchmarks-report.csv
StringBenchmarks,DirtySlugNew,SlugDirty,,4096,,,292.28 ns,96.555 ns,25.075 ns,0.09,8240 B,slug-final/results/StringBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Unicode,32,,,79.44 ns,20.507 ns,5.326 ns,1.00,88 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Unicode,32,,,69.55 ns,18.543 ns,4.815 ns,0.88,88 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Unicode,512,,,"1,235.36 ns",309.189 ns,80.295 ns,1.00,1008 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Unicode,512,,,"1,123.64 ns",268.419 ns,69.708 ns,0.91,1008 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Unicode,4096,,,"9,427.91 ns","2,186.799 ns",567.905 ns,1.00,7880 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Unicode,4096,,,"8,133.57 ns","2,501.081 ns",649.523 ns,0.87,7880 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Uppercase,32,,,34.50 ns,0.962 ns,0.250 ns,1.00,88 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Uppercase,32,,,31.32 ns,7.641 ns,1.984 ns,0.91,88 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Uppercase,512,,,522.71 ns,80.495 ns,12.457 ns,1.00,1048 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Uppercase,512,,,52.95 ns,17.863 ns,4.639 ns,0.10,1048 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Uppercase,4096,,,"4,050.19 ns","1,096.392 ns",284.730 ns,1.00,8216 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Uppercase,4096,,,285.52 ns,13.172 ns,2.038 ns,0.07,8216 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Whitespace,32,,,55.63 ns,17.805 ns,4.624 ns,1.01,0 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Whitespace,32,,,33.41 ns,5.502 ns,1.429 ns,0.60,0 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Whitespace,512,,,789.17 ns,138.536 ns,35.977 ns,1.00,0 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Whitespace,512,,,441.95 ns,109.494 ns,28.435 ns,0.56,0 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Whitespace,4096,,,"6,068.48 ns","2,011.051 ns",522.264 ns,1.01,0 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Whitespace,4096,,,"3,413.13 ns",782.239 ns,203.145 ns,0.57,0 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Words,32,,,34.43 ns,8.170 ns,2.122 ns,1.00,88 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Words,32,,,30.30 ns,4.637 ns,0.718 ns,0.88,88 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Words,512,,,482.82 ns,22.891 ns,3.542 ns,1.00,1048 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Words,512,,,423.31 ns,118.197 ns,30.695 ns,0.88,1048 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,Words,4096,,,"3,793.67 ns",763.922 ns,198.388 ns,1.00,8216 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,Words,4096,,,"3,288.77 ns",889.511 ns,231.003 ns,0.87,8216 B,slug-final/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,LateChange,32,,,30.65 ns,0.937 ns,0.243 ns,1.00,88 B,late-change/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,New,,LateChange,32,,,28.19 ns,3.632 ns,0.562 ns,0.92,88 B,late-change/results/SlugShapeBenchmarks-report.csv
SlugShapeBenchmarks,Old,,LateChange,512,,,467.04 ns,121.664 ns,31.596 ns,1.00,1048 B,late-change/results/SlugShapeBenchmarks-report.csv
